"fld_dim","sim","fit_model","job"
100,53,"MGCV",210
200,53,"MGCV",211
300,53,"MGCV",212
50,54,"MGCV",213
100,54,"MGCV",214
200,54,"MGCV",215
300,54,"MGCV",216
50,55,"MGCV",217
100,55,"MGCV",218
200,55,"MGCV",219
300,55,"MGCV",220
50,56,"MGCV",221
100,56,"MGCV",222
200,56,"MGCV",223
300,56,"MGCV",224
50,57,"MGCV",225
100,57,"MGCV",226
200,57,"MGCV",227
300,57,"MGCV",228
50,58,"MGCV",229
100,58,"MGCV",230
200,58,"MGCV",231
300,58,"MGCV",232
50,59,"MGCV",233
100,59,"MGCV",234
200,59,"MGCV",235
300,59,"MGCV",236
50,60,"MGCV",237
100,60,"MGCV",238
200,60,"MGCV",239
300,60,"MGCV",240
50,61,"MGCV",241
100,61,"MGCV",242
200,61,"MGCV",243
300,61,"MGCV",244
50,62,"MGCV",245
100,62,"MGCV",246
200,62,"MGCV",247
300,62,"MGCV",248
50,63,"MGCV",249
100,63,"MGCV",250
200,63,"MGCV",251
300,63,"MGCV",252
50,64,"MGCV",253
100,64,"MGCV",254
200,64,"MGCV",255
300,64,"MGCV",256
50,65,"MGCV",257
100,65,"MGCV",258
200,65,"MGCV",259
300,65,"MGCV",260
50,66,"MGCV",261
100,66,"MGCV",262
200,66,"MGCV",263
300,66,"MGCV",264
50,67,"MGCV",265
100,67,"MGCV",266
200,67,"MGCV",267
300,67,"MGCV",268
50,68,"MGCV",269
100,68,"MGCV",270
200,68,"MGCV",271
300,68,"MGCV",272
50,69,"MGCV",273
100,69,"MGCV",274
200,69,"MGCV",275
300,69,"MGCV",276
50,70,"MGCV",277
100,70,"MGCV",278
200,70,"MGCV",279
300,70,"MGCV",280
50,71,"MGCV",281
100,71,"MGCV",282
200,71,"MGCV",283
300,71,"MGCV",284
50,72,"MGCV",285
100,72,"MGCV",286
200,72,"MGCV",287
300,72,"MGCV",288
50,73,"MGCV",289
100,73,"MGCV",290
200,73,"MGCV",291
300,73,"MGCV",292
50,74,"MGCV",293
100,74,"MGCV",294
200,74,"MGCV",295
300,74,"MGCV",296
50,75,"MGCV",297
100,75,"MGCV",298
200,75,"MGCV",299
300,75,"MGCV",300
50,76,"MGCV",301
100,76,"MGCV",302
200,76,"MGCV",303
300,76,"MGCV",304
50,77,"MGCV",305
100,77,"MGCV",306
200,77,"MGCV",307
300,77,"MGCV",308
50,78,"MGCV",309
100,78,"MGCV",310
200,78,"MGCV",311
300,78,"MGCV",312
50,79,"MGCV",313
100,79,"MGCV",314
200,79,"MGCV",315
300,79,"MGCV",316
50,80,"MGCV",317
100,80,"MGCV",318
200,80,"MGCV",319
300,80,"MGCV",320
50,81,"MGCV",321
100,81,"MGCV",322
200,81,"MGCV",323
300,81,"MGCV",324
50,82,"MGCV",325
100,82,"MGCV",326
200,82,"MGCV",327
300,82,"MGCV",328
50,83,"MGCV",329
100,83,"MGCV",330
200,83,"MGCV",331
300,83,"MGCV",332
50,84,"MGCV",333
100,84,"MGCV",334
200,84,"MGCV",335
300,84,"MGCV",336
50,85,"MGCV",337
100,85,"MGCV",338
200,85,"MGCV",339
300,85,"MGCV",340
50,86,"MGCV",341
100,86,"MGCV",342
200,86,"MGCV",343
300,86,"MGCV",344
50,87,"MGCV",345
100,87,"MGCV",346
200,87,"MGCV",347
300,87,"MGCV",348
50,88,"MGCV",349
100,88,"MGCV",350
200,88,"MGCV",351
300,88,"MGCV",352
50,89,"MGCV",353
100,89,"MGCV",354
200,89,"MGCV",355
300,89,"MGCV",356
50,90,"MGCV",357
100,90,"MGCV",358
200,90,"MGCV",359
300,90,"MGCV",360
50,91,"MGCV",361
100,91,"MGCV",362
200,91,"MGCV",363
300,91,"MGCV",364
50,92,"MGCV",365
100,92,"MGCV",366
200,92,"MGCV",367
300,92,"MGCV",368
50,93,"MGCV",369
100,93,"MGCV",370
200,93,"MGCV",371
300,93,"MGCV",372
50,94,"MGCV",373
100,94,"MGCV",374
200,94,"MGCV",375
300,94,"MGCV",376
50,95,"MGCV",377
100,95,"MGCV",378
200,95,"MGCV",379
300,95,"MGCV",380
50,96,"MGCV",381
100,96,"MGCV",382
200,96,"MGCV",383
300,96,"MGCV",384
50,97,"MGCV",385
100,97,"MGCV",386
200,97,"MGCV",387
300,97,"MGCV",388
50,98,"MGCV",389
100,98,"MGCV",390
200,98,"MGCV",391
300,98,"MGCV",392
50,99,"MGCV",393
100,99,"MGCV",394
200,99,"MGCV",395
300,99,"MGCV",396
50,100,"MGCV",397
100,100,"MGCV",398
200,100,"MGCV",399
300,100,"MGCV",400
50,1,"MGCV FIXED",401
100,1,"MGCV FIXED",402
200,1,"MGCV FIXED",403
300,1,"MGCV FIXED",404
50,2,"MGCV FIXED",405
100,2,"MGCV FIXED",406
200,2,"MGCV FIXED",407
300,2,"MGCV FIXED",408
50,3,"MGCV FIXED",409
100,3,"MGCV FIXED",410
200,3,"MGCV FIXED",411
300,3,"MGCV FIXED",412
50,4,"MGCV FIXED",413
100,4,"MGCV FIXED",414
200,4,"MGCV FIXED",415
300,4,"MGCV FIXED",416
50,5,"MGCV FIXED",417
100,5,"MGCV FIXED",418
200,5,"MGCV FIXED",419
300,5,"MGCV FIXED",420
50,6,"MGCV FIXED",421
100,6,"MGCV FIXED",422
200,6,"MGCV FIXED",423
300,6,"MGCV FIXED",424
50,7,"MGCV FIXED",425
100,7,"MGCV FIXED",426
200,7,"MGCV FIXED",427
300,7,"MGCV FIXED",428
50,8,"MGCV FIXED",429
100,8,"MGCV FIXED",430
200,8,"MGCV FIXED",431
300,8,"MGCV FIXED",432
50,9,"MGCV FIXED",433
100,9,"MGCV FIXED",434
200,9,"MGCV FIXED",435
300,9,"MGCV FIXED",436
50,10,"MGCV FIXED",437
100,10,"MGCV FIXED",438
200,10,"MGCV FIXED",439
300,10,"MGCV FIXED",440
50,11,"MGCV FIXED",441
100,11,"MGCV FIXED",442
200,11,"MGCV FIXED",443
300,11,"MGCV FIXED",444
50,12,"MGCV FIXED",445
100,12,"MGCV FIXED",446
200,12,"MGCV FIXED",447
300,12,"MGCV FIXED",448
50,13,"MGCV FIXED",449
100,13,"MGCV FIXED",450
200,13,"MGCV FIXED",451
300,13,"MGCV FIXED",452
50,14,"MGCV FIXED",453
100,14,"MGCV FIXED",454
200,14,"MGCV FIXED",455
300,14,"MGCV FIXED",456
50,15,"MGCV FIXED",457
100,15,"MGCV FIXED",458
200,15,"MGCV FIXED",459
300,15,"MGCV FIXED",460
50,16,"MGCV FIXED",461
100,16,"MGCV FIXED",462
200,16,"MGCV FIXED",463
300,16,"MGCV FIXED",464
50,17,"MGCV FIXED",465
100,17,"MGCV FIXED",466
200,17,"MGCV FIXED",467
300,17,"MGCV FIXED",468
50,18,"MGCV FIXED",469
100,18,"MGCV FIXED",470
200,18,"MGCV FIXED",471
300,18,"MGCV FIXED",472
50,19,"MGCV FIXED",473
100,19,"MGCV FIXED",474
200,19,"MGCV FIXED",475
300,19,"MGCV FIXED",476
50,20,"MGCV FIXED",477
100,20,"MGCV FIXED",478
200,20,"MGCV FIXED",479
300,20,"MGCV FIXED",480
50,21,"MGCV FIXED",481
100,21,"MGCV FIXED",482
200,21,"MGCV FIXED",483
300,21,"MGCV FIXED",484
50,22,"MGCV FIXED",485
100,22,"MGCV FIXED",486
200,22,"MGCV FIXED",487
300,22,"MGCV FIXED",488
50,23,"MGCV FIXED",489
100,23,"MGCV FIXED",490
200,23,"MGCV FIXED",491
300,23,"MGCV FIXED",492
50,24,"MGCV FIXED",493
100,24,"MGCV FIXED",494
200,24,"MGCV FIXED",495
300,24,"MGCV FIXED",496
50,25,"MGCV FIXED",497
100,25,"MGCV FIXED",498
200,25,"MGCV FIXED",499
300,25,"MGCV FIXED",500
50,26,"MGCV FIXED",501
100,26,"MGCV FIXED",502
200,26,"MGCV FIXED",503
300,26,"MGCV FIXED",504
50,27,"MGCV FIXED",505
100,27,"MGCV FIXED",506
200,27,"MGCV FIXED",507
300,27,"MGCV FIXED",508
50,28,"MGCV FIXED",509
100,28,"MGCV FIXED",510
200,28,"MGCV FIXED",511
300,28,"MGCV FIXED",512
50,29,"MGCV FIXED",513
100,29,"MGCV FIXED",514
200,29,"MGCV FIXED",515
300,29,"MGCV FIXED",516
50,30,"MGCV FIXED",517
100,30,"MGCV FIXED",518
200,30,"MGCV FIXED",519
300,30,"MGCV FIXED",520
50,31,"MGCV FIXED",521
100,31,"MGCV FIXED",522
200,31,"MGCV FIXED",523
300,31,"MGCV FIXED",524
50,32,"MGCV FIXED",525
100,32,"MGCV FIXED",526
200,32,"MGCV FIXED",527
300,32,"MGCV FIXED",528
50,33,"MGCV FIXED",529
100,33,"MGCV FIXED",530
200,33,"MGCV FIXED",531
300,33,"MGCV FIXED",532
50,34,"MGCV FIXED",533
100,34,"MGCV FIXED",534
200,34,"MGCV FIXED",535
300,34,"MGCV FIXED",536
50,35,"MGCV FIXED",537
100,35,"MGCV FIXED",538
200,35,"MGCV FIXED",539
300,35,"MGCV FIXED",540
50,36,"MGCV FIXED",541
100,36,"MGCV FIXED",542
200,36,"MGCV FIXED",543
300,36,"MGCV FIXED",544
50,37,"MGCV FIXED",545
100,37,"MGCV FIXED",546
200,37,"MGCV FIXED",547
300,37,"MGCV FIXED",548
50,38,"MGCV FIXED",549
100,38,"MGCV FIXED",550
200,38,"MGCV FIXED",551
300,38,"MGCV FIXED",552
50,39,"MGCV FIXED",553
100,39,"MGCV FIXED",554
200,39,"MGCV FIXED",555
300,39,"MGCV FIXED",556
50,40,"MGCV FIXED",557
100,40,"MGCV FIXED",558
200,40,"MGCV FIXED",559
300,40,"MGCV FIXED",560
50,41,"MGCV FIXED",561
100,41,"MGCV FIXED",562
200,41,"MGCV FIXED",563
300,41,"MGCV FIXED",564
50,42,"MGCV FIXED",565
100,42,"MGCV FIXED",566
200,42,"MGCV FIXED",567
300,42,"MGCV FIXED",568
50,43,"MGCV FIXED",569
100,43,"MGCV FIXED",570
200,43,"MGCV FIXED",571
300,43,"MGCV FIXED",572
50,44,"MGCV FIXED",573
100,44,"MGCV FIXED",574
